sep=,
"Time","130.250.167.103 - IN2APPQ01: ICMP response time","130.250.167.104 - IN2WEBQ01: ICMP response time","130.250.167.105 - IN2SQLQ01: ICMP response time"
2023-10-22 00:00:00,519 µs,556 µs,564 µs
2023-10-22 01:00:00,610 µs,547 µs,571 µs
2023-10-22 02:00:00,527 µs,547 µs,563 µs
2023-10-22 03:00:00,554 µs,555 µs,562 µs
2023-10-22 04:00:00,558 µs,572 µs,570 µs
2023-10-22 05:00:00,530 µs,567 µs,580 µs
2023-10-22 06:00:00,524 µs,561 µs,593 µs
2023-10-22 07:00:00,552 µs,559 µs,564 µs
2023-10-22 08:00:00,526 µs,571 µs,561 µs
2023-10-22 09:00:00,530 µs,552 µs,570 µs
2023-10-22 10:00:00,536 µs,561 µs,567 µs
2023-10-22 11:00:00,530 µs,567 µs,560 µs
2023-10-22 12:00:00,535 µs,574 µs,578 µs
2023-10-22 13:00:00,549 µs,567 µs,574 µs
2023-10-22 14:00:00,521 µs,569 µs,564 µs
2023-10-22 15:00:00,520 µs,578 µs,568 µs
2023-10-22 16:00:00,527 µs,570 µs,575 µs
2023-10-22 17:00:00,525 µs,569 µs,571 µs
2023-10-22 18:00:00,525 µs,569 µs,572 µs
2023-10-22 19:00:00,536 µs,548 µs,563 µs
2023-10-22 20:00:00,546 µs,579 µs,570 µs
2023-10-22 21:00:00,544 µs,579 µs,572 µs
2023-10-22 22:00:00,544 µs,551 µs,578 µs
2023-10-22 23:00:00,540 µs,641 µs,596 µs
2023-10-23 00:00:00,532 µs,569 µs,567 µs
2023-10-23 01:00:00,520 µs,589 µs,592 µs
2023-10-23 02:00:00,528 µs,601 µs,601 µs
2023-10-23 03:00:00,523 µs,566 µs,582 µs
2023-10-23 04:00:00,521 µs,576 µs,578 µs
2023-10-23 05:00:00,520 µs,581 µs,577 µs
2023-10-23 06:00:00,528 µs,573 µs,578 µs
2023-10-23 07:00:00,546 µs,585 µs,592 µs
2023-10-23 08:00:00,521 µs,582 µs,573 µs
2023-10-23 09:00:00,532 µs,566 µs,573 µs
2023-10-23 10:00:00,527 µs,566 µs,581 µs
2023-10-23 11:00:00,535 µs,574 µs,588 µs
2023-10-23 12:00:00,533 µs,558 µs,569 µs
2023-10-23 13:00:00,544 µs,569 µs,575 µs
2023-10-23 14:00:00,948 µs,1.04 ms,592 µs
2023-10-23 15:00:00,540 µs,559 µs,574 µs
2023-10-23 16:00:00,533 µs,563 µs,574 µs
2023-10-23 17:00:00,533 µs,573 µs,566 µs
2023-10-23 18:00:00,549 µs,565 µs,567 µs
2023-10-23 19:00:00,525 µs,558 µs,566 µs
2023-10-23 20:00:00,526 µs,590 µs,566 µs
2023-10-23 21:00:00,527 µs,554 µs,572 µs
2023-10-23 22:00:00,531 µs,554 µs,577 µs
2023-10-23 23:00:00,532 µs,559 µs,575 µs
2023-10-24 00:00:00,539 µs,591 µs,594 µs
2023-10-24 01:00:00,531 µs,560 µs,572 µs
2023-10-24 02:00:00,515 µs,564 µs,575 µs
2023-10-24 03:00:00,536 µs,559 µs,581 µs
2023-10-24 04:00:00,523 µs,553 µs,579 µs
2023-10-24 05:00:00,528 µs,570 µs,570 µs
2023-10-24 06:00:00,529 µs,562 µs,565 µs
2023-10-24 07:00:00,542 µs,555 µs,579 µs
2023-10-24 08:00:00,537 µs,563 µs,566 µs

